TIMESTAMP, CPU_USAGE, MEMORY_USAGE
2025-03-24T12:55:39.959Z, 36.44%, 99.11%
2025-03-24T12:55:44.960Z, 20.41%, 98.73%
2025-03-24T12:55:49.961Z, 22.47%, 99.47%
2025-03-24T12:55:54.963Z, 25.67%, 99.09%
2025-03-24T12:55:59.964Z, 5.32%, 99.08%
2025-03-24T12:56:04.964Z, 8.37%, 99.42%
2025-03-24T12:56:09.964Z, 10.32%, 99.52%
2025-03-24T12:56:14.965Z, 6.88%, 99.39%
2025-03-24T12:56:19.972Z, 14.99%, 98.87%
2025-03-24T12:56:24.968Z, 11.53%, 99.36%
2025-03-24T12:56:29.967Z, 5.00%, 99.34%
2025-03-24T12:56:34.970Z, 4.76%, 99.40%
2025-03-24T12:56:39.970Z, 20.50%, 99.55%
2025-03-24T12:56:44.974Z, 10.49%, 99.46%
2025-03-24T12:56:49.976Z, 16.34%, 99.28%
2025-03-24T12:56:54.977Z, 4.57%, 98.92%
2025-03-24T12:56:59.978Z, 4.64%, 99.07%
2025-03-24T12:57:04.979Z, 5.74%, 99.31%
2025-03-24T12:57:09.979Z, 4.38%, 99.48%
2025-03-24T12:57:14.980Z, 10.55%, 99.59%
2025-03-24T12:57:19.982Z, 24.48%, 99.54%
2025-03-24T12:57:24.982Z, 20.68%, 99.35%
2025-03-24T12:57:29.985Z, 9.89%, 99.28%
2025-03-24T12:57:34.983Z, 7.13%, 99.31%
2025-03-24T12:57:39.985Z, 14.59%, 99.58%
2025-03-24T12:57:44.988Z, 10.33%, 99.47%
2025-03-25T02:54:23.138Z, 14.85%, 99.55%
2025-03-25T02:54:28.138Z, 15.14%, 99.13%
2025-03-25T02:54:33.139Z, 17.07%, 99.60%
2025-03-25T02:54:38.138Z, 17.12%, 98.98%
2025-03-25T02:54:43.141Z, 11.69%, 99.28%
2025-03-25T02:54:48.141Z, 12.19%, 99.33%
2025-03-25T02:54:53.143Z, 3.87%, 99.28%
2025-03-25T02:54:58.145Z, 4.75%, 99.19%
2025-03-25T02:55:03.146Z, 16.53%, 99.18%
2025-03-25T02:55:08.145Z, 14.58%, 98.90%
2025-03-25T02:55:13.145Z, 13.64%, 99.44%
